# By-name correlations for reconstructed or intentionally stubbed project functions whose definitions cannot carry direct annotations.
address,name,symbol,type,source
0x00407EE0,ForwardUpdateNamedStatusEntry,,function,src/Frontend/MAINMENU.CPP
0x0040A860,noop_vtable_callback_0040a860,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x0040B0D0,DestroyLevelChunkStreamDispatcherAuto,,stub,src/Platform/Windows/Mixed/Level/RUN/LEVELRUN.CPP
0x0040E060,DestroyDoorChunkManagerAuto,,function,src/Platform/Windows/Mixed/Engine/CORE/LINKSCF.CPP
0x0040EFD0,DestroyDoorChunkObjectAuto,,stub,src/Platform/Windows/Mixed/Engine/CORE/LINKSCF.CPP
0x00414DE0,DestroyManagedEntityQueueCursorAuto,,stub,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x004150D0,LevelChunkObjectRuntimeStateView::ResetRuntimeState,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x00415160,DestroyLevelChunkObjectBaseAuto,,stub,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x004151B0,ClearLevelChunkObjectStateFields,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x00415240,SetLevelChunkObjectMotionVector,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x00416D50,ManagedEntityRuntimeStateView::ResetManagedEntityRuntimeState,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x00417EC0,DestroyProjectilePoolAuto,,function,src/Platform/Windows/Mixed/Engine/CORE/LINKSCF.CPP
0x0041B110,DestroyCountedChildTableStreamAuto,,stub,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x0041BEC0,DispatchType14CountedChildSlotC4,,function,src/Platform/Windows/Mixed/Level/RUN/LEVELRUN.CPP
0x0041DE40,DestroyCompositeLevelChunkChildrenAuto,,stub,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x0041FDA0,DestroyThreeOptionalRecordChunkObjectAuto,,stub,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x004224C0,DestroyCollChunkManagerAuto,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP

0x00426810,ResetRockChunkObject,,function,src/Platform/Windows/Mixed/Engine/CORE/LINKSCF.CPP
0x00426C00,DestroyRockChunkManagerAuto,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x00427B10,ResetCaptureTriggerChunkObject,,function,src/Platform/Windows/Mixed/Engine/CORE/LINKSCF.CPP
0x00427FA0,DestroyCaptureTriggerChunkManagerAuto,,function,src/Platform/Windows/Mixed/Engine/CORE/LINKSCF.CPP
0x0042B090,DestroyTramChunkManagerAuto,,function,src/Platform/Windows/Mixed/Engine/CORE/LINKSCF.CPP
0x0042C120,DestroyPgunChunkManagerAuto,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x0042CA90,ResetIceChunkObject,,function,src/Platform/Windows/Mixed/Engine/CORE/LINKSCF.CPP
0x0042CAB0,ResetIceChunkObjectRuntimeState,,function,src/Platform/Windows/Mixed/Engine/CORE/LINKSCF.CPP
0x0042D8E0,DestroyIceChunkManagerAuto,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x0042E5E0,ResetMoveChunkObject,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x0042E600,ResetMoveChunkObjectRuntimeState,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x0042F2C0,DestroyMoveChunkManagerAuto,,function,src/Platform/Windows/Mixed/Level/VTABLE/LEVELVT.CPP
0x004364B0,ForwardLevelScreenStatusIndicatorMode,,function,src/Frontend/SCREENVT.CPP
0x0043A2E0,FUN_0043a2e0,,stub,src/Frontend/SCREENVT.CPP
0x00448DE0,DestroyOptionsScreenAuto,,stub,src/Frontend/MAINMENU.CPP
0x004496D0,DestroyLevelSelectionScreenAuto,,stub,src/Frontend/MAINMENU.CPP
0x004507A0,DestroyPaintballSequenceScreenAuto,,stub,src/Frontend/MAINMENU.CPP
0x004515C0,DestroyPasswordEntryScreenAuto,,stub,src/Frontend/MAINMENU.CPP
0x00451610,DrawPasswordEntryScreenContents,,function,src/Frontend/MAINMENU.CPP
0x004535C0,DestroyNetworkLobbyScreenAuto,,stub,src/Frontend/MAINMENU.CPP
0x004550C0,DestroyNetworkLobbyTransportControllerRealAuto,,stub,src/Platform/Windows/Mixed/Engine/MEDIA/EFFSTRM.CPP
0x0045D810,DestroyIntZrleListResourceAuto,,stub,src/Platform/Windows/Mixed/Resource/VARLOAD.CPP
0x004664B0,DestroyCPVBackBuffSurfaceCompilerStateShim,,function,src/Visos/Windows/CGDI.cpp
0x00468DD0,QueueSingleChildOverlayOwnerIfDirtyBody,,function,src/Frontend/MENUSEL.CPP
0x00468F80,QueueSingleChildOverlayOwnerIfDirty,,function,src/Frontend/MENUSEL.CPP
